cultura,ano,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,roni_pico
arroz,1974,1597,24.8,,LN,1,-1.9
arroz,1975,1188,-1.4,-25.6,N,0,-0.4
arroz,1976,936,-18.1,-21.2,LN,0,-1.1
arroz,1977,1234,12.6,31.8,EN,0,1.1
arroz,1978,563,-47.1,-54.4,EN,0,1.1
arroz,1979,782,-25.2,38.9,N,0,0.2
arroz,1980,1006,-3.3,28.6,EN,0,0.7
arroz,1981,1098,4.5,9.1,N,0,-0.3
arroz,1982,1077,0.1,-1.9,N,0,0.4
arroz,1983,1460,31.1,35.6,EN,1,2.5
arroz,1984,1112,-4.9,-23.8,LN,0,-1.1
arroz,1985,1337,7.6,20.2,LN,0,-1
arroz,1986,1253,-5.2,-6.3,N,0,-0.3
arroz,1987,1429,2.4,14,EN,1,1.6
arroz,1988,1360,-7.3,-4.8,EN,0,1.3
arroz,1989,1720,10.8,26.5,LN,1,-1.9
arroz,1990,1560,-6.4,-9.3,N,0,0.3
arroz,1991,1961,8.2,25.7,EN,0,0.6
arroz,1992,1749,-11.6,-10.8,EN,1,2.3
arroz,1993,2000,-7.3,14.4,EN,0,0.9
arroz,1994,2364,-0.3,18.2,N,0,0.4
arroz,1995,2585,-1.1,9.3,EN,0,1.4
arroz,1996,2908,2.2,12.5,LN,0,-0.9
arroz,1997,3064,-0.7,5.4,N,0,-0.3
arroz,1998,3410,1.9,11.3,EN,1,2.4
arroz,1999,3795,5.9,11.3,LN,1,-1.6
arroz,2000,3431,-9.4,-9.6,LN,1,-1.7
arroz,2001,4180,4.9,21.8,LN,0,-0.7
arroz,2002,4337,4,3.8,N,0,-0.3
arroz,2003,4836,11.1,11.5,EN,1,1.5
arroz,2004,4477,-0.8,-7.4,N,0,0.3
arroz,2005,4362,-6.3,-2.6,EN,0,0.8
arroz,2006,4454,-7.4,2.1,LN,0,-0.9
arroz,2007,4956,-0.4,11.3,EN,0,0.9
arroz,2008,5319,3.4,7.3,LN,1,-1.6
arroz,2009,5316,0.3,-0.1,LN,0,-0.9
arroz,2010,5382,-1.7,1.2,EN,1,1.6
arroz,2011,5341,-5.6,-0.8,LN,1,-1.7
arroz,2012,6372,9.6,19.3,LN,0,-1
arroz,2013,6180,3.9,-3,LN,0,-0.6
arroz,2014,6267,3.2,1.4,N,0,-0.5
arroz,2015,6147,-0.5,-1.9,EN,0,0.6
arroz,2016,5719,-8.8,-7,EN,1,2.4
arroz,2017,6452,1.7,12.8,LN,0,-1.1
arroz,2018,6475,1,0.4,LN,0,-1.3
arroz,2019,5641,-12.7,-12.9,EN,0,0.8
arroz,2020,5451,-16.1,-3.4,N,0,0.2
arroz,2021,6566,0.8,20.5,LN,1,-1.5
arroz,2022,5807,-11,-11.6,LN,0,-1.3
arroz,2023,6468,-0.7,11.4,LN,0,-1.1
arroz,2024,6640,2.2,2.7,EN,1,1.5
cana,1974,38262,7.8,,LN,1,-1.9
cana,1975,38793,3.2,1.4,N,0,-0.4
cana,1976,39818,0.4,2.6,LN,0,-1.1
cana,1977,36285,-13,-8.9,EN,0,1.1
cana,1978,83549,91,130.3,EN,0,1.1
cana,1979,43757,-4.4,-47.6,N,0,0.2
cana,1980,51987,8.9,18.8,EN,0,0.7
cana,1981,35455,-28.6,-31.8,N,0,-0.3
cana,1982,43283,-16.1,22.1,N,0,0.4
cana,1983,52254,-2.1,20.7,EN,1,2.5
cana,1984,54227,-1.9,3.8,LN,0,-1.1
cana,1985,62602,9.4,15.4,LN,0,-1
cana,1986,62162,5.5,-0.7,N,0,-0.3
cana,1987,64484,7,3.7,EN,1,1.6
cana,1988,59323,-3.3,-8,EN,0,1.3
cana,1989,62149,-0.2,4.8,LN,1,-1.9
cana,1990,62254,-1.5,0.2,N,0,0.3
cana,1991,60168,-5.9,-3.4,EN,0,0.6
cana,1992,65488,1.8,8.8,EN,1,2.3
cana,1993,65778,1.3,0.4,EN,0,0.9
cana,1994,65634,-0.5,-0.2,N,0,0.4
cana,1995,65794,-1.9,0.2,EN,0,1.4
cana,1996,68776,0.9,4.5,LN,0,-0.9
cana,1997,65727,-4.9,-4.4,N,0,-0.3
cana,1998,73490,4.8,11.8,EN,1,2.4
cana,1999,74292,4.4,1.1,LN,1,-1.6
cana,2000,59001,-18.4,-20.6,LN,1,-1.7
cana,2001,75817,3,28.5,LN,0,-0.7
cana,2002,76496,2.2,0.9,N,0,-0.3
cana,2003,74924,-1.3,-2.1,EN,1,1.5
cana,2004,73088,-5,-2.5,N,0,0.3
cana,2005,69544,-10.9,-4.8,EN,0,0.8
cana,2006,78637,0,13.1,LN,0,-0.9
cana,2007,82682,5,5.1,EN,0,0.9
cana,2008,84587,7.7,2.3,LN,1,-1.6
cana,2009,88213,12.6,4.3,LN,0,-0.9
cana,2010,87118,11.9,-1.2,EN,1,1.6
cana,2011,70341,-8.8,-19.3,LN,1,-1.7
cana,2012,67592,-11.6,-3.9,LN,0,-1
cana,2013,65973,-12.8,-2.4,LN,0,-0.6
cana,2014,68822,-7.6,4.3,N,0,-0.5
cana,2015,80498,9.1,17,EN,0,0.6
cana,2016,78883,7.5,-2,EN,1,2.4
cana,2017,70902,-2.8,-10.1,LN,0,-1.1
cana,2018,73162,0.6,3.2,LN,0,-1.3
cana,2019,71790,-1.4,-1.9,EN,0,0.8
cana,2020,71869,-1.4,0.1,N,0,0.2
cana,2021,70223,-4.1,-2.3,LN,1,-1.5
cana,2022,64540,-12.4,-8.1,LN,0,-1.3
cana,2023,78384,5.6,21.5,LN,0,-1.1
cana,2024,78063,4.1,-0.4,EN,1,1.5
